265.000 , 218.027
265.460 , 227.625
269.179 , 236.484
275.266 , 243.904
282.825 , 249.628
290.528 , 254.772
298.512 , 259.759
307.773 , 261.413
317.041 , 261.947
326.180 , 260.683
334.738 , 257.474
342.750 , 253.381
350.588 , 248.831
357.691 , 242.961
363.687 , 235.782
367.557 , 227.237
369.576 , 218.114
371.455 , 208.851
372.000 , 199.160
372.000 , 188.847
368.425 , 179.184
361.894 , 171.214
354.906 , 163.724
346.839 , 157.238
337.646 , 152.238
327.302 , 150.656
317.041 , 150.426
307.051 , 152.197
297.876 , 156.195
289.782 , 161.637
283.606 , 169.004
277.984 , 176.078
273.508 , 183.717
269.659 , 191.605
266.930 , 200.015
265.624 , 208.851
