245.959 , 198.023
247.124 , 206.019
249.267 , 214.109
253.650 , 221.311
258.692 , 228.415
264.774 , 235.247
272.776 , 239.722
281.494 , 243.075
290.833 , 246.109
300.548 , 245.206
309.087 , 240.262
315.943 , 233.602
321.806 , 227.022
326.196 , 219.783
329.955 , 212.698
332.900 , 205.422
334.224 , 197.762
335.305 , 190.111
336.075 , 182.133
336.500 , 173.489
336.060 , 163.999
331.839 , 155.703
325.681 , 148.581
318.551 , 142.102
310.045 , 137.326
300.677 , 134.285
290.833 , 133.005
280.889 , 133.716
272.064 , 138.543
264.815 , 145.046
259.394 , 152.644
254.469 , 159.597
251.791 , 167.570
249.107 , 174.924
245.897 , 182.187
245.500 , 190.111
