257.375 , 209.615
259.768 , 218.027
262.742 , 226.356
268.281 , 233.252
274.624 , 239.293
281.906 , 244.089
289.657 , 248.119
298.372 , 248.949
306.846 , 247.694
314.691 , 245.386
321.999 , 242.526
328.091 , 237.689
333.355 , 232.485
339.095 , 227.953
345.053 , 222.951
351.030 , 216.974
354.466 , 209.289
355.611 , 200.892
355.176 , 192.370
354.586 , 183.516
350.030 , 175.960
344.452 , 169.337
337.783 , 164.023
330.464 , 159.985
322.701 , 157.330
314.688 , 156.420
306.846 , 156.420
299.279 , 157.976
291.790 , 159.526
284.571 , 162.311
277.643 , 166.090
271.700 , 171.402
266.820 , 177.783
263.014 , 184.939
259.235 , 192.497
258.021 , 200.892
